content ,original_id,from,date_created,sentiment,original_sentiment
AchR1zkyF_News Prabowo dukung relawan Jokowi isu langgar ham kerap terpa capre ,'461878035071762432','Officiall_R1zky','2014-05-01 21:41:19','Other','Other'
AchR1zkyF_News slang Mahfud md cocok Dampingi Jokowi personel grup Band slang Bimbim ber ,'461585192608464897','Officiall_R1zky','2014-05-01 02:17:40','Other','Possibly Positive'
AchR1zkyF_News survei Ryamizard tepat jadi Cawapres Jokowi Pasca Pileg 9 april 2014 ujung mar  ,'461837458343075840','Officiall_R1zky','2014-05-01 19:00:05','Other','Other'
AdityaRamadana buruh perempuan Jokowi moga juang hak ,'461717665841561601','Reinayg721','2014-05-01 11:04:04','Other','Possibly Positive'
AdityaRamadana demo istana guru honorer minta Jokowi Prabowo jadi presiden ,'461740948653756416','Reinayg721','2014-05-01 12:36:35','Other','Other'
AdityaRamadana Jokowi demo baik buruh patungan beli ambulans ,'461808320001482752','Reinayg721','2014-05-01 17:04:18','Other','Possibly Positive'
AdityaRamadana Jokowi dialog buruh Nggak perlu demo tuntut naik ump ,'461748745319624706','Reinayg721','2014-05-01 13:07:34','Question','Question'
AdityaRamadana may day Jokowi Blusukan Kunjungi buruh sakit Jakut ,'461772088676593664','Reinayg721','2014-05-01 14:40:19','Other','Other'
AdityaRamadana puluh buruh perempuan Geruduk rumah nas Jokowi ,'461713913503965184','Reinayg721','2014-05-01 10:49:09','Other','Other'
AHAY buruh ksn Jokowi Ical Prabowo pro buruh ,'461768165102346240','Ahay_Indo','2014-05-01 14:24:44','Other','Other'
AHAY Jokowi hapus subsidi bbm 4 tahun Dahlan punya terobos ,'461829716953952256','Ahay_Indo','2014-05-01 18:29:19','Other','Other'
AHAY Jokowi demo baik buruh patungan beli ambulans ,'461799100879368192','Ahay_Indo','2014-05-01 16:27:40','Other','Possibly Positive'
AHAY KSPI dukung Prabowo spi sokong Pencapresan Jokowi ,'461768163856629760','Ahay_Indo','2014-05-01 14:24:44','Other','Other'
AHAY pkb rapat Jokowi Gerindra yakin Pencapresan Prabowo tetap aman ,'461845134640832512','Ahay_Indo','2014-05-01 19:30:35','Other','Other'
AHAY Prabowo aksi gbk Jokowi ,'461852626175270912','Ahay_Indo','2014-05-01 20:00:21','Question','Question'
AHAY soal kemeja putih Dahlan Iskan bangga tiru pak Jokowi ,'461814612438953985','Ahay_Indo','2014-05-01 17:29:18','Other','Other'
AHOK sedia pinang JOKOWI jadi Cawapres asal izin PRABOWO ,'461670162559553536','Politik10Menit','2014-05-01 07:55:18','Other','Other'
Ahok pilgub pintar pak Jokowi jadi gubernur basuki_TP ,'461845818308571137','Hany_utanatesya','2014-05-01 19:33:18','Question','Question'
AhokCawapres JokowiAhokAja pkb Cawapres serah ibu mega Jokowi ,'461630082558066688','TJINHAN_LIE','2014-05-01 05:16:03','Other','Other'
AhokCawapres JokowiAhokAja kuat poros PDIP NasDem pkb sokong   ,'461705973267054593','TJINHAN_LIE','2014-05-01 10:17:36','Other','Possibly Negative'
Ahokcawapres JokowiAhokAja baju galau Jokowi Ahok pisah  ,'461716673498578944','reinhardmanru','2014-05-01 11:00:07','Other','Other'
AhokCawapres betapa sayang Ahok Jokowi ,'461663633554952192','TJINHAN_LIE','2014-05-01 07:29:22','Question','Question'
akurapopo akuudahbiasa Jokowi prihatin nasib tani indonesia ,'461865492664172544','ADHXXT','2014-05-01 20:51:29','Other','Other'
akurapopo istilah jokowi terus dijadiin lagu sm Jupe ,'461622342930542592','ryobite','2014-05-01 04:45:17','Other','Other'
akurapopo Jomblo p jokowi ahok basuki_btp ,'461773886632103936','MarcellaLarry','2014-05-01 14:47:28','Question','Question'
akuratrimo Muhaimin pasrah damping Jokowi PDIP ,'461635115295059968','dwihamas','2014-05-01 05:36:02','Other','Possibly Negative'
akutanpapubagaikan basuki_btp ,'461709529491595264','afriadyciedyt','2014-05-01 10:31:44','Other','Other'
AnakMudaKepo sby jokowi roma irama ,'461813519587889152','AnakMudaKepo','2014-05-01 17:24:57','Other','Other'
anismatta Jokowi Prabowo by Fahrihamzah  ,'461658003012214785','hendraiman1','2014-05-01 07:06:59','Other','Other'
Jokowi datang rumah buruh gubernur dki Joko Widodo Jokowi jenguk dua buruh pabrik y ,'461802353067192320','LintasanMedia','2014-05-01 16:40:35','Other','Other'
AntaraNews Jokowi datang rumah buruh gubernur dki Joko Widodo Jokowi jenguk dua buruh pabrik ,'461801868209819649','sharing_ai','2014-05-01 16:38:39','Other','Other'
antaranews Jokowi terima buruh perempuan rumah nas gubernur dki Joko Widodo Jokowi terima k ,'461725375471443968','Jurnalis_ID','2014-05-01 11:34:42','Other','Other'
antaranews soal demo hari buruh tanggap Jokowi gubernur dki nilai baik dana untuk d ,'461725669286625281','Jurnalis_ID','2014-05-01 11:35:52','Other','Possibly Positive'
antiPDIP konspirasi Jokowi gubernur untuk jadi Capres tvOneNews ,'461889510070972416','BMRevolusi','2014-05-01 22:26:55','Other','Other'
ApaAja buruh ksn Jokowi Ical Prabowo pro buruh ,'461780463795712000','jktlagi','2014-05-01 15:13:36','Other','Other'
ApaAja Jokowi hapus subsidi bbm 4 tahun Dahlan punya terobos ,'461826317973868544','jktlagi','2014-05-01 18:15:49','Other','Other'
ApaAja Jokowi demo baik buruh patungan beli ambulans ,'461795642340163584','jktlagi','2014-05-01 16:13:55','Other','Possibly Positive'
ApaAja KSPI dukung Prabowo spi sokong Pencapresan Jokowi ,'461780402546278400','jktlagi','2014-05-01 15:13:22','Other','Other'
ApaAja pkb rapat Jokowi Gerindra yakin Pencapresan Prabowo tetap aman ,'461842170039648259','jktlagi','2014-05-01 19:18:48','Other','Other'
ApaAja Prabowo aksi gbk Jokowi ,'461857114533543938','jktlagi','2014-05-01 20:18:11','Question','Question'
ApaAja soal kemeja putih Dahlan Iskan bangga tiru pak Jokowi ,'461826283790299136','jktlagi','2014-05-01 18:15:41','Other','Other'
ApaAjaNews buruh Jawa timur dukung Jokowi ,'461619650036367360','PekanbaruYuk','2014-05-01 04:34:35','Other','Other'
ApaAjaNews cak Imin jadi Cawapres Jokowi ,'461673658440626176','PekanbaruYuk','2014-05-01 08:09:12','Other','Other'
APKLI perintah Foke baik timbang pimpin Jokowi ,'461735166424014850','zonanews_','2014-05-01 12:13:36','Other','Possibly Positive'
arektv buruh tidak yakin Jokowi hapus Outsourcing ,'461873249635155969','NewsATV','2014-05-01 21:22:18','Other','Other'
arektv demo Grahadi kerja gang Dolly pakai pin Jokowi ,'461837452437495808','NewsATV','2014-05-01 19:00:03','Other','Other'
arektv Jokowi terima buruh perempuan rumah nas ,'461718528370814976','NewsATV','2014-05-01 11:07:30','Other','Other'
ArekTV may day Jokowi ajak buruh pikir rasional ,'461713528403918848','NewsATV','2014-05-01 10:47:38','Other','Possibly Positive'
arektv relawan Projo pasang Jokowi Kalangan muda ,'461856469889990656','NewsATV','2014-05-01 20:15:37','Other','Other'
arektv soal demo hari buruh tanggap Jokowi ,'461725077935902720','NewsATV','2014-05-01 11:33:31','Other','Possibly Positive'
Jokowi hapus subsidi bbm PDIP calon presiden pdi juang ,'461792192063754240','berita1001','2014-05-01 16:00:12','Question','Question'
Jokowi khianat janji kampanye ingkar Megawati sore terik Mataha ,'461900670694461440','berita1001','2014-05-01 23:11:16','Other','Other'
Jokowi sda sda singkat sih bilang sda pendek ,'461580427711348736','berita1001','2014-05-01 01:58:44','Other','Possibly Positive'
timsukses Jokowi benci pks aneh pilih konsulta ,'461784645923651584','berita1001','2014-05-01 15:30:13','Other','Possibly Positive'
Mayday sby ucap selamat Jokowi larang ekspresi mulai 1 mei hari ,'461784646531829760','berita1001','2014-05-01 15:30:13','Other','Possibly Negative'
bodoh gila dukung Jokowi tidak Kompaki keras iya ya zaman ,'461683049919303680','berita1001','2014-05-01 08:46:31','Other','Other'
Thing white thing Jokowi le iki klambi putih lengen dowo nggo kowe kata pakde ,'461587912836911105','berita1001','2014-05-01 02:28:28','Other','Other'
at Jokowi datang rumah buruh ,'461801884919922688','ArvandPutra','2014-05-01 16:38:43','Other','Other'
at soal demo hari buruh tanggap Jokowi ,'461732980168224768','JerryFadlika','2014-05-01 12:04:55','Other','Possibly Positive'
AutoTweet buruh perempuan Jokowi moga juang hak ingat hari bur ,'461717201595412480','angkringan_78','2014-05-01 11:02:13','Other','Possibly Positive'
AutoTweet Jokowi pasang telinga Musrenbangnas acara awal pidato arah ,'461650393525526529','angkringan_78','2014-05-01 06:36:45','Other','Other'
AutoTweet Jokowi betul ganjar marah masa beri hadiah gubernur Jawa tengah ganjar Pranowo marah ,'461717015044964352','angkringan_78','2014-05-01 11:01:29','Negative','Negative'
AutoTweet kondisi bikin Jokowi jantung Gerindra belakang kerap lontar puisi ,'461821756211077120','angkringan_78','2014-05-01 17:57:41','Positive','Positive'
AutoTweet KSPI Jokowi sua malaikat Izrail buruh konfederasi serikat kerja ind ,'461858005940580353','angkringan_78','2014-05-01 20:21:44','Other','Possibly Positive'
AutoTweet may day Jokowi Blusukan Kunjungi buruh sakit Jakut calon presiden PDIP Joko Widodo memanfaatka ,'461771692964990976','angkringan_78','2014-05-01 14:38:45','Other','Other'
AutoTweet survei Ryamizard tepat jadi Cawapres Jokowi Pasca Pileg 9 april 2014 ujung marak manuver ko  ,'461839019320438786','angkringan_78','2014-05-01 19:06:17','Other','Other'
B0wtj4hTweet buruh yakin Jokowi hapus sistem Outsourcing ,'461858625120501760','aksha_vedia','2014-05-01 20:24:11','Other','Other'
B0wtj4hTweet gubernur Jokowi nilai pihak buruh ,'461819637571665920','aksha_vedia','2014-05-01 17:49:16','Other','Other'
B0wtj4hTweet hari buruh Prabowo empati Jokowi simpati ,'461819646652334080','aksha_vedia','2014-05-01 17:49:18','Other','Other'
B0wtj4hTweet Jokowi Megawati jadi bahan sindir buruh ,'461889856180744192','aksha_vedia','2014-05-01 22:28:17','Other','Other'
B0wtj4hTweet may day Jokowi besuk tiga orang buruh sakit ,'461819623357173760','aksha_vedia','2014-05-01 17:49:13','Other','Possibly Negative'
B0wtj4hTweet Prabowo dukung Sejumlah relawan Jokowi ,'461882076032036864','aksha_vedia','2014-05-01 21:57:22','Other','Other'
B0wtj4hTweet relawan Jokowi balik arah dukung Prabowo ,'461771785080279041','aksha_vedia','2014-05-01 14:39:07','Other','Possibly Negative'
B0wtj4hTweet Ryamizard ganggu Jokowi ,'461592864581906433','aksha_vedia','2014-05-01 02:48:09','Other','Other'
B3rit4P3nt1n9 Jokowi datang rumah buruh gubernur dki Joko Widodo Jokowi ,'461804761772068864','Berit4Indonesi4','2014-05-01 16:50:09','Other','Other'
B3rit4P3nt1n9 Jokowi hapus subsidi bbm 4 tahun Dahlan punya terobos ,'461823150297071616','Berit4Indonesi4','2014-05-01 18:03:13','Other','Other'
B3rit4P3nt1n9 Jokowi terima buruh perempuan rumah nas gubernur dki Joko ,'461721582419726336','Berit4Indonesi4','2014-05-01 11:19:38','Other','Other'
B3rit4P3nt1n9 soal demo hari buruh tanggap Jokowi gubernur dki nilai ,'461725479389499392','Berit4Indonesi4','2014-05-01 11:35:07','Other','Possibly Positive'
b8 buruh sindir Jokowi tidak konsisten ,'461777623031357441','JerryFadlika','2014-05-01 15:02:19','Other','Other'
balamnews gubernur dki Joko Widodo Jokowi ucap selamat hari buruh rangka ingat ,'461761466144530433','Kota_BaLam','2014-05-01 13:58:07','Other','Other'
Bali Semeton Bali Jokowi sebut tiga Cawapresnya suara baru  ,'461728243750825984','IklanDeret','2014-05-01 11:46:06','Other','Other'
BaliNews Jokowi datang rumah buruh gubernur dki Joko Widodo Jokowi jenguk dua buruh pabrik y ,'461804116914601984','DailyInfoBali','2014-05-01 16:47:36','Other','Other'
BalleNews Jokowi pasang telinga Musrenbangnas acara awal pidato arah dar ,'461650128109973504','BALLETERAS2010','2014-05-01 06:35:42','Other','Other'
BalleNews Jokowi betul ganjar marah masa beri hadiah gubernur Jawa tengah ganjar Pranowo memar ,'461716667769184256','BALLETERAS2010','2014-05-01 11:00:06','Other','Possibly Negative'
BalleNews kondisi bikin Jokowi jantung Gerindra belakang kerap lontar pui ,'461821410470416384','BALLETERAS2010','2014-05-01 17:56:19','Positive','Positive'
BalleNews KSPI Jokowi sua malaikat Izrail buruh konfederasi serikat kerja i ,'461857684648513538','BALLETERAS2010','2014-05-01 20:20:27','Other','Possibly Positive'
BalleNews Prabowo dukung relawan Jokowi isu langgar ham kerap terpa capres ,'461875552589053952','BALLETERAS2010','2014-05-01 21:31:27','Other','Other'
BalleNews slang Mahfud md cocok Dampingi Jokowi personel grup Band slang Bimbim harap PDIP me ,'461598893353234432','BALLETERAS2010','2014-05-01 03:12:06','Other','Possibly Positive'
BalleNews survei Ryamizard tepat jadi Cawapres Jokowi Pasca Pileg 9 april 2014 ujung marak manuver  ,'461838659126177792','BALLETERAS2010','2014-05-01 19:04:51','Other','Other'
BANYUWANGI buruh perempuan Jokowi moga juang hak  ,'461720056355766272','BanyuwangiKini','2014-05-01 11:13:34','Other','Possibly Positive'
BANYUWANGI demo istana guru honorer minta Jokowi Prabowo jadi presiden  ,'461741324085899265','BanyuwangiKini','2014-05-01 12:38:05','Other','Other'
BANYUWANGI Jokowi demo baik buruh patungan beli ambulans  ,'461796115877085184','BanyuwangiKini','2014-05-01 16:15:48','Other','Possibly Positive'
BANYUWANGI may day Jokowi Blusukan Kunjungi buruh sakit Jakut  ,'461773947004932096','BanyuwangiKini','2014-05-01 14:47:42','Other','Other'
BANYUWANGI puluh buruh perempuan Geruduk rumah nas Jokowi  ,'461709249182044162','BanyuwangiKini','2014-05-01 10:30:37','Other','Other'
Basuki tp Ahok somasi pkl tanah abang Jokowi bela ,'461885640074731521','chit_me','2014-05-01 22:11:32','Other','Other'
bb buruh perempuan Jokowi moga juang hak ,'461725722667536384','JerryFadlika','2014-05-01 11:36:05','Other','Possibly Positive'
bb demo istana guru honorer minta Jokowi Prabowo jadi presiden ,'461741228715814912','JerryFadlika','2014-05-01 12:37:42','Other','Other'
bb Jokowi demo baik buruh patungan beli ambulans ,'461796151520268288','JerryFadlika','2014-05-01 16:15:56','Other','Possibly Positive'
bb Jokowi dialog buruh Nggak perlu demo tuntut naik ump ,'461749161730138112','JerryFadlika','2014-05-01 13:09:13','Question','Question'
bb may day Jokowi Blusukan Kunjungi buruh sakit Jakut ,'461772241743540224','JerryFadlika','2014-05-01 14:40:56','Other','Other'
bb puluh buruh perempuan Geruduk rumah nas Jokowi ,'461702458029264898','ArvandPutra','2014-05-01 10:03:38','Other','Other'
BEJO JKWaP pelangi rona wajah gubah lirik JAMRUD  ,'461809886032982016','HadiPoerbo','2014-05-01 17:10:31','Other','Possibly Negative'
BEJO benar jongos eh btw tanda 99 BEJO milih jokowi kode  ,'461870652731830272','RichoIND','2014-05-01 21:11:59','Question','Question'
BEJO Jokowi detikcom Jokowi tidak hapus tunjang guru ,'461663766359191552','maryahulalata','2014-05-01 07:29:53','Other','Other'
BEJO JOkowi d ,'461738952072773634','Ujelicious','2014-05-01 12:28:39','Other','Other'
Bejo orang andal untung Jokowi raisopopo andal untung jadi presiden heuheuheu ,'461855076898713601','MulutDemokrasi','2014-05-01 20:10:05','Other','Other'
BEJO jual Nasbung hrg rp 99 btw tanda 99 BEJO milih jokowi kode  ,'461870264985219073','Bayu_Triatmaja','2014-05-01 21:10:26','Question','Question'
